254170210	BORUCINO	2018	1	26	18	2.3	100	  C	0	8	5
254170210	BORUCINO	2018	1	27	6	2.5	98	 SW	1	8	6
254170210	BORUCINO	2018	1	27	12	3.3	88	 SW	5	7	6
254170210	BORUCINO	2018	1	27	18	2.3	96	 SW	4	8	7
254170210	BORUCINO	2018	1	28	6	2.1	95	 SW	10	8	6
254170210	BORUCINO	2018	1	28	12	5.8	79	WSW	13	7	7
254170210	BORUCINO	2018	1	28	18	6.2	69	WSW	12	7	7
254170210	BORUCINO	2018	1	29	6	5.2	100	 SW	5	8	6
254170210	BORUCINO	2018	1	29	12	8.0	83	WSW	15	8	6
254170210	BORUCINO	2018	1	29	18	7.0	84	WSW	11	8	6
254170210	BORUCINO	2018	1	30	6	3.0	88	WSW	10	8	6
254170210	BORUCINO	2018	1	30	12	2.7	89	  W	9	7	7
254170210	BORUCINO	2018	1	30	18	2.3	93	 SW	4	8	5
254170210	BORUCINO	2018	1	31	6	1.2	96	SSW	7	7	6
254170210	BORUCINO	2018	1	31	12	2.3	82	SSW	7	8	7
254170210	BORUCINO	2018	1	31	18	3.2	95	SSW	10	8	6
